#,Item,Per packaging,Price per unit,Amount,Overall price,Currency,Price in EUR,Conversion USD-EUR
1,Kailh PG1316 Keycaps 1U homing,2 pcs pack,1.50,5.00,7.50,USD,6.45,0.86
2,Kailh PG1316 Keycaps 1U,10 pcs pack,4.00,18.00,72.00,EUR,72.00,
3,Kailh PG1316S Ultra Thin Butterfly Switch,10 pcs pack,7.50,18.00,135.00,USD,116.10,
4,PCB prototype,per piece,89.72,1.00,89.72,USD,77.16,
5,SMT Assembly,per piece,122.60,1.00,122.60,USD,105.44,
6,nice!view 1 inch LCD Display,per piece,21.96,2.00,43.92,EUR,43.92,
7,Li-ion Polymer Battery 401730 250 mAh,per piece,6.79,2.00,13.58,EUR,13.58,
8,CNC Case part (Alu) - left + right,per piece,45.50,2.00,91.00,USD,78.26,
,,,,,,,,
Total in EUR,512.91,,,,,,,
EUR per piece,256.46,,,,,,,
