Comment,Designator,Footprint,LCSC,Quantity
1.5k,"R10,R3",R_0402_1005Metric,C114759,2
1.5k,"R1,R4",R_0402_1005Metric,C25744,2
100nF,"C1,C12",C_0201_0603Metric,C52923,2
10k,"R5,R6,R7,R8",R_0201_0603Metric,C25744,4
10uF,"C13,C14,C2,C3",C_0603_1608Metric,C52923,4
150k,"R2,R9",R_0201_0603Metric,C25744,2
1uF,"C15,C16,C4,C6",C_0402_1005Metric,C52923,4
4.7uF,"C10,C22",C_0402_1005Metric,C368809,2
BLUE,"D20,D40",LED_0402_1005Metric,C364550,2
ESDR0502NMUTAG,"U2,U4",UDFN-6_1.2x1.0mm_P0.4mm,C94372,2
RED,"D19,D39",LED_0402_1005Metric,C364554,2
USB_C_Receptacle_USB2.0,"J1,J4",USB-C_C168688,C168688,2
Keyswitch,S32,CPG1316S01D02_front_mikefives,,1
2.2uH,L2,L_0805_2012Metric,,1
Diode,D22,Diode_SOD-123,,1
Keyswitch,S26,CPG1316S01D02_front_mikefives,,1
Diode,D25,Diode_SOD-123,,1
Keyswitch,S4,CPG1316S01D02_front_mikefives,,1
Diode,D37,Diode_SOD-123,,1
nPM1300-QEXX,U3,QFN-32-1EP_5x5mm_P0.5mm_EP3.6x3.6mm_ThermalVias,,1
Diode,D31,Diode_SOD-123,,1
Keyswitch,S30,CPG1316S01D02_front_mikefives,,1
Diode,D38,Diode_SOD-123,,1
Keyswitch,S21,CPG1316S01D02_front_mikefives,,1
2.2uF,C9,C_0402_1005Metric,,1
10uF,C18,C_0603_1608Metric,,1
Keyswitch,S23,CPG1316S01D02_front_mikefives,,1
Diode,D2,Diode_SOD-123,,1
Keyswitch,S18,CPG1316S01D02_front_mikefives,,1
Diode,D35,Diode_SOD-123,,1
Keyswitch,S31,CPG1316S01D02_front_mikefives,,1
Keyswitch,S16,CPG1316S01D02_front_mikefives,,1
Diode,D24,Diode_SOD-123,,1
nPM1300-QEXX,U5,QFN-32-1EP_5x5mm_P0.5mm_EP3.6x3.6mm_ThermalVias,,1
Diode,D7,Diode_SOD-123,,1
Diode,D16,Diode_SOD-123,,1
Diode,D15,Diode_SOD-123,,1
Keyswitch,S27,CPG1316S01D02_front_mikefives,,1
Keyswitch,S1,CPG1316S01D02_front_mikefives,,1
Diode,D21,Diode_SOD-123,,1
Keyswitch,S36,CPG1316S01D02_front_mikefives,,1
Reset,SW2,SW-SMD_L3.0-W2.0-LS3.5,,1
Keyswitch,S11,CPG1316S01D02_front_mikefives,,1
Diode,D3,Diode_SOD-123,,1
Diode,D33,Diode_SOD-123,,1
Diode,D17,Diode_SOD-123,,1
10nF,C17,C_0402_1005Metric,,1
Soft-off switch,SW3,Panasonic_EVQPUL_EVQPUC,,1
Keyswitch,S19,CPG1316S01D02_front_mikefives,,1
Keyswitch,S22,CPG1316S01D02_front_mikefives,,1
Diode,D1,Diode_SOD-123,,1
Keyswitch,S17,CPG1316S01D02_front_mikefives,,1
1uF,C8,C_0402_1005Metric,,1
Diode,D32,Diode_SOD-123,,1
Keyswitch,S14,CPG1316S01D02_front_mikefives,,1
Keyswitch,S29,CPG1316S01D02_front_mikefives,,1
Diode,D27,Diode_SOD-123,,1
Diode,D13,Diode_SOD-123,,1
Diode,D9,Diode_SOD-123,,1
Diode,D8,Diode_SOD-123,,1
Keyswitch,S28,CPG1316S01D02_front_mikefives,,1
2.2uF,C20,C_0402_1005Metric,,1
1uF,C19,C_0402_1005Metric,,1
Conn_01x02,Batt1,JST_SHL_SM02B-SHLS-TF_1x02-1MP_P1.00mm_Horizontal,,1
Keyswitch,S6,CPG1316S01D02_front_mikefives,,1
Keyswitch,S10,CPG1316S01D02_front_mikefives,,1
Keyswitch,S33,CPG1316S01D02_front_mikefives,,1
Diode,D29,Diode_SOD-123,,1
Diode,D28,Diode_SOD-123,,1
Keyswitch,S3,CPG1316S01D02_front_mikefives,,1
Diode,D10,Diode_SOD-123,,1
Soft-off switch,SW6,Panasonic_EVQPUL_EVQPUC,,1
Diode,D26,Diode_SOD-123,,1
Keyswitch,S13,CPG1316S01D02_front_mikefives,,1
Keyswitch,S15,CPG1316S01D02_front_mikefives,,1
10nF,C5,C_0402_1005Metric,,1
Diode,D18,Diode_SOD-123,,1
Diode,D6,Diode_SOD-123,,1
Diode,D23,Diode_SOD-123,,1
Diode,D5,Diode_SOD-123,,1
Diode,D30,Diode_SOD-123,,1
Keyswitch,S9,CPG1316S01D02_front_mikefives,,1
Keyswitch,S35,CPG1316S01D02_front_mikefives,,1
Keyswitch,S12,CPG1316S01D02_front_mikefives,,1
Diode,D11,Diode_SOD-123,,1
Diode,D12,Diode_SOD-123,,1
Diode,D4,Diode_SOD-123,,1
