Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
Batt1,Conn_01x02,JST_SHL_SM02B-SHLS-TF_1x02-1MP_P1.00mm_Horizontal,121.30178,-100.025582,180.0,top
Batt2,Conn_01x02,JST_SHL_SM02B-SHLS-TF_1x02-1MP_P1.00mm_Horizontal,175.57398,-100.025582,180.0,top
C1,100nF,C_0201_0603Metric,123.4842,-112.6018,-90.0,top
C10,4.7uF,C_0402_1005Metric,76.708,-126.238,180.0,top
C12,100nF,C_0201_0603Metric,176.1214,-109.7026,0.0,top
C13,10uF,C_0603_1608Metric,170.7874,-112.740815,180.0,top
C14,10uF,C_0603_1608Metric,173.7614,-104.394,0.0,top
C15,1uF,C_0402_1005Metric,171.8034,-104.3686,90.0,top
C16,1uF,C_0402_1005Metric,170.5102,-104.3686,90.0,top
C17,10nF,C_0402_1005Metric,162.726876,-94.310236,180.0,top
C18,10uF,C_0603_1608Metric,167.7394,-111.9886,-90.0,top
C19,1uF,C_0402_1005Metric,168.2474,-109.4766,-90.0,top
C2,10uF,C_0603_1608Metric,120.523,-106.934,90.0,top
C20,2.2uF,C_0402_1005Metric,176.1744,-104.8486,180.0,top
C22,4.7uF,C_0402_1005Metric,231.910429,-126.285153,180.0,top
C3,10uF,C_0603_1608Metric,129.3262,-109.5538,0.0,top
C4,1uF,C_0402_1005Metric,128.8182,-108.2838,0.0,top
C5,10nF,C_0402_1005Metric,133.93478,-94.3102,0.0,top
C6,1uF,C_0402_1005Metric,128.1832,-106.6328,90.0,top
C7,10uF,C_0603_1608Metric,121.1982,-104.4992,180.0,top
C8,1uF,C_0402_1005Metric,123.7102,-105.0072,180.0,top
C9,2.2uF,C_0402_1005Metric,128.8182,-110.8238,180.0,top
D1,Diode,Diode_SOD-123,29.901784,-86.325471,15.0,top
D10,Diode,Diode_SOD-123,108.46578,-79.58907,0.0,top
D11,Diode,Diode_SOD-123,38.960449,-120.132875,15.0,top
D12,Diode,Diode_SOD-123,54.823872,-98.641736,5.0,top
D13,Diode,Diode_SOD-123,73.46578,-91.422403,0.0,top
D14,Diode,Diode_SOD-123,90.965781,-94.255736,0.0,top
D15,Diode,Diode_SOD-123,108.46578,-97.089069,0.0,top
D16,Diode,Diode_SOD-123,93.016781,-118.374736,0.0,top
D17,Diode,Diode_SOD-123,113.483379,-120.471098,-12.0,top
D18,Diode,Diode_SOD-123,133.403608,-126.714401,-25.0,top
D19,RED,LED_0402_1005Metric,133.7564,-108.331,180.0,top
D2,Diode,Diode_SOD-123,51.773422,-63.774922,5.0,top
D20,BLUE,LED_0402_1005Metric,59.844581,-126.152069,180.0,top
