Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
Batt1,Conn_01x02,JST_SHL_SM02B-SHLS-TF_1x02-1MP_P1.00mm_Horizontal,198.308937,-58.720993,-90.0,top
Batt2,Conn_01x02,JST_SHL_SM02B-SHLS-TF_1x02-1MP_P1.00mm_Horizontal,93.151325,-58.760538,90.0,top
C1,100nF,C_0201_0603Metric,210.147537,-56.539193,0.0,top
C10,4.7uF,C_0402_1005Metric,223.783737,-103.315393,-90.0,top
C12,100nF,C_0201_0603Metric,84.21196,-59.525082,-90.0,top
C13,10uF,C_0603_1608Metric,81.173745,-54.191082,90.0,top
C14,10uF,C_0603_1608Metric,89.52056,-57.165082,-90.0,top
C15,1uF,C_0402_1005Metric,89.54596,-55.207082,0.0,top
C16,1uF,C_0402_1005Metric,89.54596,-53.913882,0.0,top
C17,10nF,C_0402_1005Metric,99.604324,-46.130558,90.0,top
C18,10uF,C_0603_1608Metric,81.92596,-51.143082,180.0,top
C19,1uF,C_0402_1005Metric,84.43796,-51.651082,180.0,top
C2,10uF,C_0603_1608Metric,204.479737,-59.500393,180.0,top
C20,2.2uF,C_0402_1005Metric,89.06596,-59.578082,90.0,top
C22,4.7uF,C_0402_1005Metric,67.629407,-115.314111,90.0,top
C3,10uF,C_0603_1608Metric,207.099537,-50.697193,90.0,top
C4,1uF,C_0402_1005Metric,205.829537,-51.205193,90.0,top
C5,10nF,C_0402_1005Metric,191.855937,-46.088613,90.0,top
C6,1uF,C_0402_1005Metric,204.178537,-51.840193,180.0,top
C7,10uF,C_0603_1608Metric,202.044937,-58.825193,-90.0,top
C8,1uF,C_0402_1005Metric,202.552937,-56.313193,-90.0,top
C9,2.2uF,C_0402_1005Metric,208.369537,-51.205193,-90.0,top
D1,Diode,Diode_SOD-123,183.871208,-150.121609,105.0,top
D10,Diode,Diode_SOD-123,177.134807,-71.557613,90.0,top
D11,Diode,Diode_SOD-123,217.678612,-141.062944,105.0,top
D12,Diode,Diode_SOD-123,196.187473,-125.199521,95.0,top
D13,Diode,Diode_SOD-123,188.96814,-106.557613,90.0,top
D14,Diode,Diode_SOD-123,191.801473,-89.057612,90.0,top
D15,Diode,Diode_SOD-123,194.634806,-71.557613,90.0,top
D16,Diode,Diode_SOD-123,215.920473,-87.006612,90.0,top
D17,Diode,Diode_SOD-123,218.016835,-66.540014,78.0,top
D18,Diode,Diode_SOD-123,224.260138,-46.619785,65.0,top
D19,RED,LED_0402_1005Metric,205.876737,-46.266993,-90.0,top
D2,Diode,Diode_SOD-123,161.320659,-128.249971,95.0,top
D20,BLUE,LED_0402_1005Metric,223.697806,-120.178812,-90.0,top
D21,Diode,Diode_SOD-123,107.438928,-150.713699,-105.0,top
D22,Diode,Diode_SOD-123,130.089042,-128.859615,-95.0,top
D23,Diode,Diode_SOD-123,137.49211,-107.169464,-90.0,top
D24,Diode,Diode_SOD-123,134.658778,-89.669463,-90.0,top
D25,Diode,Diode_SOD-123,131.825445,-72.169462,-90.0,top
D26,Diode,Diode_SOD-123,90.535227,-146.184367,-105.0,top
D27,Diode,Diode_SOD-123,112.655637,-127.33439,-95.0,top
D28,Diode,Diode_SOD-123,119.992111,-107.169464,-90.0,top
D29,Diode,Diode_SOD-123,117.158779,-89.669464,-90.0,top
D3,Diode,Diode_SOD-123,153.96814,-106.557612,90.0,top
D30,Diode,Diode_SOD-123,114.325443,-72.169463,-90.0,top
D31,Diode,Diode_SOD-123,73.631524,-141.655033,-105.0,top
D32,Diode,Diode_SOD-123,95.222227,-125.809165,-95.0,top
D33,Diode,Diode_SOD-123,102.492112,-107.169464,-90.0,top
D34,Diode,Diode_SOD-123,99.65878,-89.669463,-90.0,top
D35,Diode,Diode_SOD-123,96.825445,-72.169462,-90.0,top
D36,Diode,Diode_SOD-123,75.658779,-87.669464,-90.0,top
D37,Diode,Diode_SOD-123,73.564006,-67.139188,-78.0,top
D38,Diode,Diode_SOD-123,67.445237,-47.177296,-65.0,top
D39,RED,LED_0402_1005Metric,85.583478,-46.30652,-90.0,top
D4,Diode,Diode_SOD-123,156.801474,-89.057612,90.0,top
D40,BLUE,LED_0402_1005Metric,67.715338,-98.450691,90.0,top
D5,Diode,Diode_SOD-123,159.634808,-71.557613,90.0,top
D6,Diode,Diode_SOD-123,200.774909,-145.592277,105.0,top
D7,Diode,Diode_SOD-123,178.754067,-126.724746,95.0,top
D8,Diode,Diode_SOD-123,171.46814,-106.557612,90.0,top
D9,Diode,Diode_SOD-123,174.301473,-89.057612,90.0,top
J1,USB_C_Receptacle_USB2.0,USB-C_C168688,198.85414,-48.138613,0.0,top
J4,USB_C_Receptacle_USB2.0,USB-C_C168688,92.606157,-48.171864,0.0,top
L1,2.2uH,L_0805_2012Metric,203.822937,-61.238193,0.0,top
L2,2.2uH,L_0805_2012Metric,82.40856,-49.519682,180.0,top
R1,1.5k,R_0402_1005Metric,206.181537,-47.714793,180.0,top
R10,1.5k,R_0402_1005Metric,69.315538,-98.432687,-90.0,top
R2,150k,R_0201_0603Metric,209.893537,-52.475193,-90.0,top
R3,1.5k,R_0402_1005Metric,222.097606,-120.196816,90.0,top
R4,1.5k,R_0402_1005Metric,85.278678,-47.75432,180.0,top
R5,10k,R_0201_0603Metric,86.24396,-59.525082,-90.0,top
R6,10k,R_0201_0603Metric,85.22796,-59.525082,-90.0,top
R7,10k,R_0201_0603Metric,210.147537,-54.507193,0.0,top
R8,10k,R_0201_0603Metric,210.147537,-55.523193,0.0,top
R9,150k,R_0201_0603Metric,87.81876,-59.197082,180.0,top
S1,Keyswitch,CPG1316S01D02_front_mikefives,186.380399,-149.749504,105.0,top
S10,Keyswitch,CPG1316S01D02_front_mikefives,179.654807,-71.847613,90.0,top
S11,Keyswitch,CPG1316S01D02_front_mikefives,220.187803,-140.690839,105.0,top
S12,Keyswitch,CPG1316S01D02_front_mikefives,198.723159,-125.268785,95.0,top
S13,Keyswitch,CPG1316S01D02_front_mikefives,191.48814,-106.847613,90.0,top
S14,Keyswitch,CPG1316S01D02_front_mikefives,194.321473,-89.347612,90.0,top
S15,Keyswitch,CPG1316S01D02_front_mikefives,197.154806,-71.847613,90.0,top
S16,Keyswitch,CPG1316S01D02_front_mikefives,218.321473,-87.347612,90.0,top
S17,Keyswitch,CPG1316S01D02_front_mikefives,220.421473,-67.347614,78.0,top
S18,Keyswitch,CPG1316S01D02_front_mikefives,226.421474,-47.947613,65.0,top
S19,Keyswitch,CPG1316S01D02_front_mikefives,105.079853,-149.781356,-105.0,top
S2,Keyswitch,CPG1316S01D02_front_mikefives,163.856345,-128.319235,95.0,top
S20,Keyswitch,CPG1316S01D02_front_mikefives,127.603907,-128.351086,-95.0,top
S21,Keyswitch,CPG1316S01D02_front_mikefives,134.97211,-106.879464,-90.0,top
S22,Keyswitch,CPG1316S01D02_front_mikefives,132.138778,-89.379463,-90.0,top
S23,Keyswitch,CPG1316S01D02_front_mikefives,129.305445,-71.879462,-90.0,top
S24,Keyswitch,CPG1316S01D02_front_mikefives,88.176152,-145.252024,-105.0,top
S25,Keyswitch,CPG1316S01D02_front_mikefives,110.170502,-126.825861,-95.0,top
S26,Keyswitch,CPG1316S01D02_front_mikefives,117.472111,-106.879464,-90.0,top
S27,Keyswitch,CPG1316S01D02_front_mikefives,114.638779,-89.379464,-90.0,top
S28,Keyswitch,CPG1316S01D02_front_mikefives,111.805443,-71.879463,-90.0,top
S29,Keyswitch,CPG1316S01D02_front_mikefives,71.272449,-140.72269,-105.0,top
S3,Keyswitch,CPG1316S01D02_front_mikefives,156.48814,-106.847612,90.0,top
S30,Keyswitch,CPG1316S01D02_front_mikefives,92.737092,-125.300636,-95.0,top
S31,Keyswitch,CPG1316S01D02_front_mikefives,99.972112,-106.879464,-90.0,top
S32,Keyswitch,CPG1316S01D02_front_mikefives,97.13878,-89.379463,-90.0,top
S33,Keyswitch,CPG1316S01D02_front_mikefives,94.305445,-71.879462,-90.0,top
S34,Keyswitch,CPG1316S01D02_front_mikefives,73.138779,-87.379464,-90.0,top
S35,Keyswitch,CPG1316S01D02_front_mikefives,71.03878,-67.379463,-78.0,top
S36,Keyswitch,CPG1316S01D02_front_mikefives,65.038781,-47.979464,-65.0,top
S4,Keyswitch,CPG1316S01D02_front_mikefives,159.321474,-89.347612,90.0,top
S5,Keyswitch,CPG1316S01D02_front_mikefives,162.154808,-71.847613,90.0,top
S6,Keyswitch,CPG1316S01D02_front_mikefives,203.2841,-145.220172,105.0,top
S7,Keyswitch,CPG1316S01D02_front_mikefives,181.289753,-126.79401,95.0,top
S8,Keyswitch,CPG1316S01D02_front_mikefives,173.98814,-106.847612,90.0,top
S9,Keyswitch,CPG1316S01D02_front_mikefives,176.821473,-89.347612,90.0,top
SW2,Reset,SW-SMD_L3.0-W2.0-LS3.5,223.336534,-116.421833,-90.0,top
SW3,Soft-off switch,Panasonic_EVQPUL_EVQPUC,211.07154,-45.887613,0.0,top
SW5,Reset,SW-SMD_L3.0-W2.0-LS3.5,68.085751,-102.215064,90.0,top
SW6,Soft-off switch,Panasonic_EVQPUL_EVQPUC,80.405779,-45.900064,0.0,top
U1,ISP1807-LR-RS,ISP1807-LR-RS,224.446656,-109.295916,90.0,top
U2,ESDR0502NMUTAG,UDFN-6_1.2x1.0mm_P0.4mm,197.459609,-54.025016,90.0,top
U3,nPM1300-QEXX,QFN-32-1EP_5x5mm_P0.5mm_EP3.6x3.6mm_ThermalVias,206.173537,-55.495193,90.0,top
U4,ESDR0502NMUTAG,UDFN-6_1.2x1.0mm_P0.4mm,94.127638,-54.53704,90.0,top
U5,nPM1300-QEXX,QFN-32-1EP_5x5mm_P0.5mm_EP3.6x3.6mm_ThermalVias,85.25596,-55.551082,0.0,top
U6,ISP1807-LR-RS,ISP1807-LR-RS,66.970288,-109.333587,-90.0,top
